,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Type,Unnamed: 6,Date,Unnamed: 8,Num,Unnamed: 10,Memo,Unnamed: 12,Name,Unnamed: 14,Item,Unnamed: 16,Qty,Unnamed: 18,Sales Price,Unnamed: 20,Amount,Unnamed: 22,Balance
0,,Aaren Scientific Inc.,,,,,,,,,,,,,,,,,,,,,,
1,,,M4044,,,,,,,,,,,,,,,,,,,,,
2,,,,,,Invoice,,10/05/2018,,14054.0,,Material characterization & moldability for Pebax 4533 SA01 MED,,Aaren Scientific Inc.:M4044,,Svc:Micro Molding,,1.00,,"5,000.00",,"5,000.00",,"5,000.00"
3,,,Total M4044,,,,,,,,,,,,,,,1.00,,,,"5,000.00",,"5,000.00"
4,,Total Aaren Scientific Inc.,,,,,,,,,,,,,,,,1.00,,,,"5,000.00",,"5,000.00"
5,,Adient Medical,,,,,,,,,,,,,,,,,,,,,,
6,,,M3985,,,,,,,,,,,,,,,,,,,,,
7,,,,,,Invoice,,07/26/2018,,13952.0,,"Onsite visit by Adient, produce (100) parts with new gate insert, change over mold to original g...",,Adient Medical:M3985,,Svc:Micro Molding,,1.00,,"7,475.00",,"7,475.00",,"7,475.00"
8,,,Total M3985,,,,,,,,,,,,,,,1.00,,,,"7,475.00",,"7,475.00"
9,,,M3991,,,,,,,,,,,,,,,,,,,,,
10,,,,,,Invoice,,07/05/2018,,13931.0,,Requalification for 5 gate insert configuration for Filter Endplate. Includes (32) Samples,,Adient Medical:M3991,,Svc:Micro Molding,,1.00,,"5,500.00",,"5,500.00",,"5,500.00"
11,,,Total M3991,,,,,,,,,,,,,,,1.00,,,,"5,500.00",,"5,500.00"
12,,,M3992,,,,,,,,,,,,,,,,,,,,,
13,,,,,,Invoice,,07/13/2018,,13943.0,,Filter End Plate from new 5 gate validated mold,,Adient Medical:M3992,,Svc:Micro Molding,,"1,000.00",,8.60,,"8,600.00",,"8,600.00"
14,,,Total M3992,,,,,,,,,,,,,,,"1,000.00",,,,"8,600.00",,"8,600.00"
15,,Total Adient Medical,,,,,,,,,,,,,,,,"1,002.00",,,,"21,575.00",,"21,575.00"
16,,"Align Technology, Inc.",,,,,,,,,,,,,,,,,,,,,,
17,,,M3988,,,,,,,,,,,,,,,,,,,,,
18,,,,,,Invoice,,07/13/2018,,13940.0,,"Set up existing MTD tooling and overmold batteries out of (1) material, up to (20) prototype sam...",,"Align Technology, Inc.:M3988",,Svc:Micro Molding,,1.00,,"5,000.00",,"5,000.00",,"5,000.00"
19,,,Total M3988,,,,,,,,,,,,,,,1.00,,,,"5,000.00",,"5,000.00"
20,,"Total Align Technology, Inc.",,,,,,,,,,,,,,,,1.00,,,,"5,000.00",,"5,000.00"
21,,Allergan Inc.,,,,,,,,,,,,,,,,,,,,,,
22,,,8498,,,,,,,,,,,,,,,,,,,,,
23,,,,,,Invoice,,04/27/2018,,13823.0,,"Prototype inserts to produce conductive polymer electrode, includes (25) progress samples",,Allergan Inc.:8498,,Svc:Micro Molds,,0.50,,"24,550.00",,"12,275.00",,"12,275.00"
24,,,,,,Invoice,,06/15/2018,,13896.0,,"Prototype inserts to produce conductive polymer electrode, includes (25) progress samples",,Allergan Inc.:8498,,Svc:Micro Molds,,0.50,,"24,550.00",,"12,275.00",,"24,550.00"
